"sampleID","fastq_R1","fastq_R2","SRR_ID"
"SRR11863262","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863262_1.fastq.gz",,"SRR11863262"
"SRR11863263","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863263_1.fastq.gz",,"SRR11863263"
"SRR11863264","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863264_1.fastq.gz",,"SRR11863264"
"SRR11863265","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863265_1.fastq.gz",,"SRR11863265"
"SRR11863266","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863266_1.fastq.gz",,"SRR11863266"
"SRR11863267","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863267_1.fastq.gz",,"SRR11863267"
"SRR11863268","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863268_1.fastq.gz",,"SRR11863268"
"SRR11863269","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863269_1.fastq.gz",,"SRR11863269"
"SRR11863270","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863270_1.fastq.gz",,"SRR11863270"
"SRR11863271","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863271_1.fastq.gz",,"SRR11863271"
"SRR11863272","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863272_1.fastq.gz",,"SRR11863272"
"SRR11863273","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863273_1.fastq.gz",,"SRR11863273"
"SRR11863274","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863274_1.fastq.gz",,"SRR11863274"
"SRR11863275","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863275_1.fastq.gz",,"SRR11863275"
"SRR11863276","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863276_1.fastq.gz",,"SRR11863276"
"SRR11863277","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863277_1.fastq.gz",,"SRR11863277"
"SRR11863278","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863278_1.fastq.gz",,"SRR11863278"
"SRR11863279","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863279_1.fastq.gz",,"SRR11863279"
"SRR11863280","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863280_1.fastq.gz",,"SRR11863280"
"SRR11863281","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863281_1.fastq.gz",,"SRR11863281"
"SRR11863282","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863282_1.fastq.gz",,"SRR11863282"
"SRR11863283","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863283_1.fastq.gz",,"SRR11863283"
"SRR11863284","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863284_1.fastq.gz",,"SRR11863284"
"SRR11863285","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863285_1.fastq.gz",,"SRR11863285"
"SRR11863286","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863286_1.fastq.gz",,"SRR11863286"
"SRR11863287","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863287_1.fastq.gz",,"SRR11863287"
"SRR11863288","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863288_1.fastq.gz",,"SRR11863288"
"SRR11863289","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863289_1.fastq.gz",,"SRR11863289"
"SRR11863290","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863290_1.fastq.gz",,"SRR11863290"
"SRR11863291","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863291_1.fastq.gz",,"SRR11863291"
"SRR11863292","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863292_1.fastq.gz",,"SRR11863292"
"SRR11863293","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863293_1.fastq.gz",,"SRR11863293"
"SRR11863294","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863294_1.fastq.gz",,"SRR11863294"
"SRR11863295","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863295_1.fastq.gz",,"SRR11863295"
"SRR11863296","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863296_1.fastq.gz",,"SRR11863296"
"SRR11863297","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863297_1.fastq.gz",,"SRR11863297"
"SRR11863298","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863298_1.fastq.gz",,"SRR11863298"
"SRR11863299","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863299_1.fastq.gz",,"SRR11863299"
"SRR11863300","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863300_1.fastq.gz",,"SRR11863300"
"SRR11863301","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863301_1.fastq.gz",,"SRR11863301"
